text,label,language,clean_text
arnavutluk avrupa dışişleri bakan vekil cakaj istifa et,1,tr,arnavutluk avrupa dışişleri bakan vekil cakaj istifa et
rusya dışişleri bakan lavrov türkiye rusya arası ilişki derece kıymet,1,tr,rusya dışişleri bakan lavrov türkiye rusya arası ilişki derece kıymet
millî savun bakan ak ortak merkez görev yap per azerbaycan git,1,tr,millî savun bakan ak ortak merkez görev yap per azerbaycan git
millî savun bakan ak ortak merkezî inşa bit faaliyet geç art general subay derhâl görev baş,1,tr,millî savun bakan ak ortak merkezî inşa bit faaliyet geç art general subay derhâl görev baş
millî savun bakan ak ortak merkez görev yap per azerbaycan git aç,1,tr,millî savun bakan ak ortak merkez görev yap per azerbaycan git aç
bakan kasapoğlunun tercih lastik voleybol saha,1,tr,bakan kasapoğlunun tercih lastik voleybol saha
bakan soylu türkiye pkklı terörist sayı altın,1,tr,bakan soylu türkiye pkklı terörist sayı altın
haber akademi ülke gazete eğit verdi,1,tr,haber akademi ülke gazete eğit verdi
çevre şehir bakan elâzığ sivriç ocak meydan gelen deprem yıkı bina yerine inşa edi blok konut yer afetzede yeni yıl ev karşı,1,tr,çevre şehir bakan elâzığ sivriç ocak meydan gelen deprem yıkı bina yerine inşa edi blok konut yer afetzede yeni yıl ev karşı
ukrayna dışişleri bakan kuleba iran adalet kaç izin ver,1,tr,ukrayna dışişleri bakan kuleba iran adalet kaç izin ver
bakan pekcan bir kral an ocak tarihî devre gir hiçbir süre kayıp ol,1,tr,bakan pekcan bir kral ocak tarihî devre gir hiçbir süre kayıp ol
dışişleri bakan çavuşoğlu yap biz egemen hak saldırı,1,tr,dışişleri bakan çavuşoğlu yap egemen hak saldırı
iç bakan soylu türkiye pkklı terörist sayı altın,1,tr,iç bakan soylu türkiye pkklı terörist sayı altın
bakan pekcan bugün insan beklenti karşı onlar ver söz yerine getir memnuniyet yaşa,1,tr,bakan pekcan bugün insan beklenti karşı onlar ver söz yerine getir memnuniyet yaşa
bakan pekcan insan gönül rahat biz için açı kritik pazar ol ingiltere ticaret sür,1,tr,bakan pekcan insan gönül rahat açı kritik pazar ol ingiltere ticaret sür
can ticaret bakan pekcan türkiye bir kral arası serbest ticaret an imza tören video konferans katı,1,tr,ticaret bakan pekcan türkiye bir kral arası serbest ticaret imza tören video konferans katı
bakan pekcan bir kral ara ticaret yapı ilgi belirsiz kal ticaret inan daha gel,1,tr,bakan pekcan bir kral ara ticaret yapı ilgi belirsiz kal ticaret inan gel
bakan pekcan serbest ticaret an bugün türkiyebirleşik kral ilişki bakımından önemli tarihî günü yaşa,1,tr,bakan pekcan serbest ticaret bugün türkiyebirleşik kral ilişki bakımından önemli tarihî günü yaşa
cumhurbaşkanı erdoğan avukat özel vekâlet ücret aç iftira yalandan ibaret,1,tr,cumhurbaşkanı erdoğan avukat özel vekâlet ücret aç iftira yalandan ibaret
ulaş altyapı bakan karaismailoğlu yeni eylem plan siber tehdit etki daha azal,1,tr,ulaş altyapı bakan karaismailoğlu yeni eylem plan siber tehdit etki azal
dışişleri bakan çavuşoğlu rusya mevcut kota dol art türkiye domates ihraç yönel kota art söyle,1,tr,dışişleri bakan çavuşoğlu rusya mevcut kota dol art türkiye domates ihraç yönel kota art söyle
emin erdoğan cumhurbaşkanı erdoğan leblebi birlikte uğur,1,tr,emin erdoğan cumhurbaşkanı erdoğan leblebi birlikte uğur
iç bakan süleyman soylu türkiye pkklı terörist sayı altın ol söyle,1,tr,iç bakan süleyman soylu türkiye pkklı terörist sayı altın ol söyle
venezuela devlet başkan maduro guaidonun meclis başkan uza anayasa aykırı,1,tr,venezuela devlet başkan maduro guaidonun meclis başkan uza anayasa aykırı
genç spor bakan kasapoğlu millî spor ortaöğretim yüzde burs imkân tanı protokol imza aç,1,tr,genç spor bakan kasapoğlu millî spor ortaöğretim yüzde burs imkân tanı protokol imza aç
can genç spor bakan mehmet muharrem kasapoğlu bakan özel öğret dernek arası spor öğrenci eğit bir protokol imza tören katı,1,tr,genç spor bakan mehmet muharrem kasapoğlu bakan özel öğret dernek arası spor öğrenci eğit bir protokol imza tören katı
cumhurbaşkanı erdoğan restorasyon tamam ankara devlet resim heykel müze açı program kon,1,tr,cumhurbaşkanı erdoğan restorasyon tamam ankara devlet resim heykel müze açı program kon
iç bakan vali ev başvuru yönel yeni düzen içer ev işlem konu genelge gönder,1,tr,iç bakan vali ev başvuru yönel yeni düzen içer ev işlem konu genelge gönder
cumhurbaşkanı erdoğan kabine toplantı art ingiltere serbest ticaret an değer,1,tr,cumhurbaşkanı erdoğan kabine toplantı art ingiltere serbest ticaret değer
aile çal sosyal hizmet bakan selçuk sokak çık kısıt nedeniyle emek sandık kapsam vatan ay erken öde,1,tr,aile çal sosyal hizmet bakan selçuk sokak çık kısıt nedeniyle emek sandık kapsam vatan ay erken öde
millî savun bakan silah kaza uç şereflikoçhisar asker şehit oldu,1,tr,millî savun bakan silah kaza uç şereflikoçhisar asker şehit oldu
temsil meclis kovid nakit destek dolar çık onay,1,tr,temsil meclis kovid nakit destek dolar çık onay
temsil meclis trumpın veto et savun bütçe tasarı yeniden onay,1,tr,temsil meclis trumpın veto et savun bütçe tasarı yeniden onay
özel koordinatör lübnan hükûmet kur siyasi eleştiri bide bek,1,tr,özel koordinatör lübnan hükûmet kur siyasi eleştiri bide bek
venezuela muhalefet guaidonun ulusal meclis başkan görev yıllığına uza,1,tr,venezuela muhalefet guaidonun ulusal meclis başkan görev yıllığına uza
